CODE,NAME,CONTINENT,CAPITAL,AREA,POPULATION
EGY,Egypt,Africa,Cairo,1001449,98424000
NGA,Nigeria,Africa,Abuja,923768,206139587
ZAF,South Africa,Africa,Pretoria,1219090,59622350
ETH,Ethiopia,Africa,Addis Ababa,1127127,117876227
KEN,Kenya,Africa,Nairobi,580367,53771296
GHA,Ghana,Africa,Accra,238533,31072940
CHN,China,Asia,Beijing,9596960,1402112000
IND,India,Asia,New Delhi,3287263,1380004385
JPN,Japan,Asia,Tokyo,377973,125960000
IDN,Indonesia,Asia,Jakarta,1904569,273523615
PAK,Pakistan,Asia,Islamabad,881913,220892340
BGD,Bangladesh,Asia,Dhaka,143998,164689383
THA,Thailand,Asia,Bangkok,513120,69799978
VNM,Vietnam,Asia,Hanoi,331212,97338583
SAU,Saudi Arabia,Asia,Riyadh,2149690,34813871
TUR,Turkey,Asia,Ankara,783562,84339067
IRN,Iran,Asia,Tehran,1648195,83992949
DEU,Germany,Europe,Berlin,357114,83132799
FRA,France,Europe,Paris,551695,67391582
GBR,United Kingdom,Europe,London,242495,67215293
ITA,Italy,Europe,Rome,301340,60244639
ESP,Spain,Europe,Madrid,505990,47332614
POL,Poland,Europe,Warsaw,312679,38179800
NLD,Netherlands,Europe,Amsterdam,41543,17590672
BEL,Belgium,Europe,Brussels,30528,11589623
USA,United States,North America,Washington D.C.,9833517,331002651
CAN,Canada,North America,Ottawa,9984670,38005238
MEX,Mexico,North America,Mexico City,1964375,126014024
CUB,Cuba,North America,Havana,109884,11326616
GTM,Guatemala,North America,Guatemala City,108889,17109746
BRA,Brazil,South America,Brasilia,8515767,212559417
ARG,Argentina,South America,Buenos Aires,2780400,45195777
COL,Colombia,South America,Bogota,1141748,50882891
PER,Peru,South America,Lima,1285216,32971854
CHL,Chile,South America,Santiago,756102,19116201
AUS,Australia,Oceania,Canberra,7692024,25499884
NZL,New Zealand,Oceania,Wellington,270467,5084000
PNG,Papua New Guinea,Oceania,Port Moresby,462840,9949437
